name,artist_id
Taylor Swift,06HL4z0CvFAxyc27GXpf02
Zach Bryan,40ZNYROS4zLfyyBSs2PGe2
Mitski,2uYWxilOVlUdk4oV9DvwqK
Drake,3TVXtAsR1Inumwj472S9r4
Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B
Bad Bunny,4q3ewBCX7sLwd24euuV69X
Tate McRae,45dkTj5sMRSjrmBSBeiHym
Gunna,2hlmm7s2ICUX0LVIhVFlZQ
Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo
Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
Jung Kook,6HaGTQPmzraVmaVxvz6EUc
Bing Crosby,6ZjFtWeHP9XN7FeKSUe80S
SZA,7tYKF4w9nC0nq9CsPZTHyP
Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY
Olivia Rodrigo,1McMsnEElThX1knmY4oliG
Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ
Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt
Tyla,3SozjO3Lat463tQICI9LcE
Peso Pluma,12GqGscKJx3aE4t07u7eVZ
Kenya Grace,7uMDnSZyUYNBPLhPMNuaM2
J. Cole,6l3HvQ5sa6mXTsMTB19rO5
"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF
Frank Ocean,2h93pZq0e7k5yf4dywlkpM
Eslabon Armado,0XeEobZplHxzM9QzFQWLiR
The Neighbourhood,77SW9BnxLY8rJ0RciFqkHh
Calle 24,6dLuQ5qXxIuWc5urxfIiZR
The Beatles,3WrFJ7ztbogyGnTHbHJFl2
KAROL G,790FomKkXshlbRYZFtlgla
The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
The Kid LAROI,2tIP7SsRs7vjIcLrU85W8J
iñigo quintero,0jbo7KFNMiIkfBR6ih0yhm
Dua Lipa,6M2wZ9GZgrQXHCFfjv46we
Rema,46pWGuE3dSwY3bMMXGBvVS
Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH
Post Malone,246dkjvS1zLTtiykXe5h60
NewJeans,6HvZYsbFfjnjFrWF950C9d
Troye Sivan,3WGpXCj9YhhfX11TToZcXP
Myke Towers,7iK8PXO48WeuP03g8YR51W
Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh
David Kushner,33NVpKoXjItPwUJTMZIOiY
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
