artist_id,name,genres,popularity,followers
06HL4z0CvFAxyc27GXpf02,Taylor Swift,pop,100,91680193
40ZNYROS4zLfyyBSs2PGe2,Zach Bryan,"classic oklahoma country,modern country pop",86,2509443
2uYWxilOVlUdk4oV9DvwqK,Mitski,"brooklyn indie,pov: indie",81,5611748
3TVXtAsR1Inumwj472S9r4,Drake,"canadian hip hop,canadian pop,hip hop,pop rap,rap",95,81558952
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,"dance pop,pop",87,27133047
2RQXRUsr4IW1f3mKyKsy4B,Noah Kahan,pov: indie,81,1495469
4q3ewBCX7sLwd24euuV69X,Bad Bunny,"reggaeton,trap latino,urbano latino",96,76282527
45dkTj5sMRSjrmBSBeiHym,Tate McRae,"alt z,pop",81,3969817
2hlmm7s2ICUX0LVIhVFlZQ,Gunna,"atl hip hop,melodic rap,rap,trap",82,6170842
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,"melodic rap,pluggnb,rap",78,6510287
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,contemporary country,85,7553681
6HaGTQPmzraVmaVxvz6EUc,Jung Kook,k-pop,88,10984101
6ZjFtWeHP9XN7FeKSUe80S,Bing Crosby,"adult standards,easy listening,lounge",63,468822
7tYKF4w9nC0nq9CsPZTHyP,SZA,"pop,r&b,rap",87,15583735
0Y5tJX1MQlPlqiwlOH1tJY,Travis Scott,"hip hop,rap,slap house",90,24970183
1McMsnEElThX1knmY4oliG,Olivia Rodrigo,pop,87,29660644
4iHNK0tOyZPYnBU7nGAgpQ,Mariah Carey,"dance pop,pop,urban contemporary",76,9401798
0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,"corrido,corridos tumbados,sad sierreno,sierreno",85,5593863
3SozjO3Lat463tQICI9LcE,Tyla,,73,235882
12GqGscKJx3aE4t07u7eVZ,Peso Pluma,"corridos tumbados,sad sierreno",90,8793016
7uMDnSZyUYNBPLhPMNuaM2,Kenya Grace,singer-songwriter pop,76,340859
6l3HvQ5sa6mXTsMTB19rO5,J. Cole,"conscious hip hop,hip hop,north carolina hip hop,rap",84,21828311
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator","hip hop,rap",82,13034703
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,"lgbtq+ hip hop,neo soul",81,12104196
0XeEobZplHxzM9QzFQWLiR,Eslabon Armado,"corrido,corridos tumbados,sad sierreno,sierreno",77,4919615
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,"modern alternative rock,modern rock,pop,pov: indie",81,14181301
6dLuQ5qXxIuWc5urxfIiZR,Calle 24,"corrido,corridos tumbados,sad sierreno,sierreno",74,555712
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",82,26469550
790FomKkXshlbRYZFtlgla,KAROL G,"reggaeton,reggaeton colombiano,trap latino,urbano latino",88,41292427
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,"canadian contemporary r&b,canadian pop,pop",92,74083387
2tIP7SsRs7vjIcLrU85W8J,The Kid LAROI,australian hip hop,79,4855231
0jbo7KFNMiIkfBR6ih0yhm,iñigo quintero,,77,198284
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,"dance pop,pop,uk pop",84,41984956
46pWGuE3dSwY3bMMXGBvVS,Rema,"afrobeats,nigerian pop",76,3434042
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,"art pop,pop",86,88444109
246dkjvS1zLTtiykXe5h60,Post Malone,"dfw rap,melodic rap,pop,rap",86,42584261
6HvZYsbFfjnjFrWF950C9d,NewJeans,"k-pop,k-pop girl group",80,5984982
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,"australian pop,pop,viral pop",78,7997821
7iK8PXO48WeuP03g8YR51W,Myke Towers,"reggaeton,trap latino,urbano latino",84,13115549
0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,"hip pop,pop,queens hip hop,rap",84,29939555
33NVpKoXjItPwUJTMZIOiY,David Kushner,gen z singer-songwriter,75,1464718
5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,pop,82,22544003
6KImCVD70vtIoJWnq6nGn3,Harry Styles,pop,83,30036903
5wCmhq5J2hPwL2r0eKurxn,cassö,,72,17892
1U1el3k54VvEUzo3ybLPlM,Kali Uchis,colombian pop,81,5580275
33qOK5uJ8AR2xuQQAhHump,Teddy Swims,,70,953660
74KM79TiuVKeVCqs8QtB0B,Sabrina Carpenter,pop,76,6303062
0iEtIxbK0KxaSlF7G42ZOp,Metro Boomin,rap,85,5986589
4E2rKHVDssGJm2SCDOMMJB,Doechii,alternative r&b,69,364066
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,"pop,post-teen pop",81,46296841
4GJ6xDCF5jaUqD6avOuQT6,FIFTY FIFTY,k-pop girl group,70,1347127
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,"art pop,pop",88,29420971
