track_id,track_name,artist_id,artist_name,release_date,release_date_precision,album_len,duration_ms,explicit,track_popularity
1x1XQqhBViz4opcpwc7FVs,Reelin' In The Years,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,1972-11-01,day,10,277467,False,75
3IvTwPCCjfZczCN2k4qPiH,Dirty Work,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,1972-11-01,day,10,190065,False,73
2LXISHBkx8FyoxCBkckh19,Do It Again,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,1972-11-01,day,10,357041,False,72
7GVvj4zJNVuBJSl6StEfn5,Only A Fool Would Say That,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,1972-11-01,day,10,175273,False,67
0xLrMI4R2xTwRHWV3UQCAZ,Rikki Don't Lose That Number,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,1974-02-20,day,11,272946,False,65
1tjK9HhmpEfk0ijyIKsoUk,Hey Nineteen,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,1980,year,7,307400,False,64
5emxp4RqsF6QoAWXW2Afrk,Peg,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,1977-09-23,day,7,237066,False,63
1u42hFacJ1Bs8H9GX2O8z3,Any Major Dude Will Tell You,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,1974-02-20,day,11,187345,False,60
0xeBC6N81ZBYDtxuBFGSuO,Deacon Blues,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,1977-09-23,day,7,455497,False,59
1K9B43e0PyilYctK0WgoO4,Don't Take Me Alive,6P7H3ai06vU1sGvdpBwDmE,Steely Dan,1976-01-01,day,9,256360,False,58
